position,driver_name,driver_number,competitor_id,laps_completed,best_lap_time,last_lap_time,total_time,gap_to_leader,gap_to_previous,avg_speed,avg_time,marker,finished
1,Esteban Porras,04,13871272,9,45.724,45.724,7:33.655,,,,,6,True
2,Santiago Delgado,09,7048573,9,45.867,45.967,7:37.257,0.143,0.143,,,6,True
3,Marco Ramirez,01,10927270,9,46.310,46.364,7:19.763,0.586,0.443,,,6,True
4,Hans Molina,12,8228829,9,46.395,46.395,7:33.148,0.671,0.085,,,6,True
5,Justin Miguel Jimenez,02,12680280,8,46.489,46.489,7:10.144,0.765,0.094,,,6,True
6,Antonio Rojas,18,2566194,9,46.511,46.511,7:34.942,0.787,0.022,,,6,True
7,Samuel Villalobos,11,6824862,8,46.547,46.547,7:07.712,0.823,0.036,,,6,True
8,Federico Pacheco,05,11548670,8,46.586,46.677,7:06.973,0.862,0.039,,,6,True
9,Mauricio Garro,03,13248252,9,46.628,46.907,7:30.583,0.904,0.042,,,6,True
10,Andres Aguilar,14,11609723,9,47.312,47.312,7:27.997,1.588,0.684,,,6,True
11,Patrick Vindas,16,4767301,8,47.392,49.328,7:22.133,1.668,0.080,,,6,True
12,Jose Carlos Gutierrez,10,6101164,6,47.399,48.826,7:03.434,1.675,0.007,,,6,True
13,Jonathan Artavia,24,3774931,8,47.814,47.894,7:06.929,2.090,0.415,,,6,True
14,Daniella Sanchez,06,16595332,8,48.137,48.137,7:12.893,2.413,0.323,,,6,True
15,Josue Roberto Rojas,07,11024274,8,48.287,48.287,7:10.880,2.563,0.150,,,6,True
16,Sebastian Montero,17,5373404,7,48.779,49.812,7:03.058,3.055,0.492,,,6,True
17,Sergio Ramos,20,3533068,8,50.339,50.657,7:26.123,4.615,1.560,,,6,True
18,Maria Paola Sanchez,08,13820677,7,51.824,51.824,6:59.878,6.100,1.485,,,0,False
19,,12,8229829,0,,,,,,,,0,False
20,,13,12864952,0,,,,,,,,0,False
21,,15,11818104,0,,,,,,,,0,False
