position,driver_name,driver_number,competitor_id,laps_completed,best_lap_time,last_lap_time,total_time,gap_to_leader,gap_to_previous,avg_speed,avg_time,marker,finished
1,Marco Ramirez,06,13871272,8,45.867,45.867,7:35.139,,,,,6,True
2,Andres Aguilar,07,10761436,8,46.126,46.126,7:33.248,0.259,0.259,,,6,True
3,Esteban Porras,05,13248252,8,46.397,46.422,7:40.637,0.530,0.271,,,6,True
4,Sebastian Diaz,15,15443831,8,46.405,46.405,7:34.785,0.538,0.008,,,6,True
5,Guillermo Vargas,20,13788776,8,46.487,46.487,7:20.875,0.620,0.082,,,6,True
6,Andres Espinoza,24,10062511,8,46.527,47.428,7:40.697,0.660,0.040,,,6,True
7,Juan Carlos Gutierrez,08,11010697,8,46.598,47.099,7:31.807,0.731,0.071,,,6,True
8,Juan Carlos Jimenez,12,13451047,8,46.669,46.669,7:44.010,0.802,0.071,,,6,True
9,Gabriel Vega,09,11961197,8,46.882,47.234,7:31.386,1.015,0.213,,,6,True
10,Ian Ureña,16,16602500,6,46.979,47.250,7:19.682,1.112,0.097,,,6,True
11,Sebastian Porras,13,13204087,8,46.987,47.526,7:37.896,1.120,0.008,,,6,True
12,Leonardo Miranda,18,16595332,8,47.243,47.243,7:31.051,1.376,0.256,,,6,True
13,Kevin Rojas,21,11548670,8,47.264,47.769,7:27.587,1.397,0.021,,,6,True
14,Jonathan Artavia,23,11818104,8,47.905,47.905,7:39.097,2.038,0.641,,,6,True
15,Daniel Alfaro,11,13772613,7,48.132,48.132,7:08.450,2.265,0.227,,,6,True
16,Ronald Mena (2),17,10927270,4,48.225,48.248,7:40.440,2.358,0.093,,,6,True
17,Diego Sevilla,14,13820677,8,48.357,48.415,7:46.530,2.490,0.132,,,6,True
18,Kairo Paiz,04,11609723,7,50.345,50.575,7:11.741,4.478,1.988,,,6,True
19,Jonathan Corrales,03,10205577,7,50.435,55.163,7:03.004,4.568,0.090,,,6,True
20,Daniel Chacon,22,11390202,7,51.572,52.076,7:11.456,5.705,1.137,,,6,True
21,,01,15728644,0,,,,,,,,0,False
22,,02,12013013,0,,,,,,,,0,False
